Unnamed: 0,uid,dateTime,deviceId,lat,long,pm1_0,pm2_5,pm10
0,18560999-f47b-4109-8c4f-53c232445ede,2021-01-01 00:00:00+05:30,0000000024568afd,28.579203000000003,77.228767,237.0,423.0,451.0
4,801e7440-7887-4c65-b7f9-70300b36c841,2021-01-01 00:00:03+05:30,0000000024568afd,28.579224,77.228767,237.0,425.0,452.0
10,9fd087c0-da50-4823-8631-b07e84a21b1e,2021-01-01 00:00:06+05:30,0000000024568afd,28.579239,77.228767,237.0,423.0,451.0
13,1911a89b-9807-4e29-9ed7-748a1eed269f,2021-01-01 00:00:08+05:30,0000000024568afd,28.579249,77.228767,237.0,423.0,447.0
15,80463375-1d51-4799-ac91-f22bf82c38d2,2021-01-01 00:00:11+05:30,0000000024568afd,28.579264,77.228767,237.0,426.0,451.0
22,18481bef-219a-47c9-9e05-287da5b491aa,2021-01-01 00:00:14+05:30,0000000024568afd,28.5792685,77.2287635,237.0,429.0,453.0
25,f5e44373-3a43-4688-a876-3870d9e2f493,2021-01-01 00:00:17+05:30,0000000024568afd,28.579273,77.22876,232.0,429.0,454.0
32,595ee3a8-9db5-4ba4-a535-c512192e86f2,2021-01-01 00:00:22+05:30,0000000024568afd,28.579288,77.228767,233.0,427.0,451.0
35,82f334f0-486a-4c27-bf8d-a580d6bb68f6,2021-01-01 00:00:25+05:30,0000000024568afd,28.579283875,77.228775625,234.0,427.0,447.0
39,38ae19b2-ec27-4ff5-9c29-28d8cf0f0e30,2021-01-01 00:00:27+05:30,0000000024568afd,28.579281125,77.22878137500003,233.0,428.0,448.0
43,c7f0aab1-aa9e-4535-82af-564b1f1d88cd,2021-01-01 00:00:30+05:30,0000000024568afd,28.579277,77.22879,233.0,425.0,447.0
47,dbe5ecbd-2dc9-479d-b3bc-8ecb89e8cbe6,2021-01-01 00:00:33+05:30,0000000024568afd,28.579262,77.22884040000002,234.0,420.0,440.0
52,4226a82c-847a-4278-a401-3186613e03ae,2021-01-01 00:00:35+05:30,0000000024568afd,28.579252,77.228874,234.0,423.0,445.0
