Unnamed: 0,uid,dateTime,deviceId,lat,long,pm1_0,pm2_5,pm10
1465,469ba73f-ebd6-41e0-a777-042793913e6b,2021-01-05 00:17:17+05:30,0000000024568afd,28.565393,77.230919,35.0,53.0,68.0
1469,8c4da94a-40f5-46e1-9b09-73392a9af60d,2021-01-05 00:17:20+05:30,0000000024568afd,28.565458000000003,77.230587,35.0,52.0,67.0
1473,11f6973f-9f45-4680-8ed8-3017f720766a,2021-01-05 00:17:23+05:30,0000000024568afd,28.565523,77.230255,36.0,53.0,68.0
1477,a3985b08-bd13-41c6-886b-f58946794049,2021-01-05 00:17:26+05:30,0000000024568afd,28.565573,77.229935,37.0,56.0,69.0
1482,459e9ae6-cfb4-40a0-bde4-b9131d41a4c0,2021-01-05 00:17:29+05:30,0000000024568afd,28.565573,77.22966,38.0,59.0,70.0
1486,82ebbacc-34bc-4522-8fb4-abbeb5fe679e,2021-01-05 00:17:32+05:30,0000000024568afd,28.565652000000004,77.22945,37.0,57.0,70.0
1491,fe4c1505-948e-484d-9c29-ef7c61065a12,2021-01-05 00:17:35+05:30,0000000024568afd,28.565731,77.22924,38.0,57.0,69.0
2931,3c6a6df6-0401-4bb3-a894-ad6e9d07f189,2021-01-05 00:36:54+05:30,0000000024568afd,28.579615000000004,77.234016,31.0,49.0,59.0
2935,136482c6-59b2-4573-82ce-c17e08cfb1ab,2021-01-05 00:36:57+05:30,0000000024568afd,28.579607,77.234001,32.0,49.0,59.0
2939,bcb7868d-ee8a-425d-9089-62f22cc8b33a,2021-01-05 00:37:00+05:30,0000000024568afd,28.579601,77.234001,31.0,47.0,58.0
2943,cf5e57ee-bf48-465a-913c-e718addad3f0,2021-01-05 00:37:03+05:30,0000000024568afd,28.579626,77.234009,33.0,49.0,61.0
2947,7d95eaed-e7e5-416b-b4dd-a3ef3663b891,2021-01-05 00:37:06+05:30,0000000024568afd,28.5796386,77.234018,33.0,50.0,63.0
2951,88d8b6b8-0d5d-4a58-aa33-bd4a5879e614,2021-01-05 00:37:08+05:30,0000000024568afd,28.579647,77.234024,33.0,51.0,65.0
2955,48e1aeb3-d0a7-464c-bfab-aa41392dec0b,2021-01-05 00:37:11+05:30,0000000024568afd,28.579647,77.234032,31.0,49.0,61.0
2960,5fa3da20-aa64-496f-9d64-8c9a74588d34,2021-01-05 00:37:14+05:30,0000000024568afd,28.579647,77.234016,31.0,49.0,60.0
2964,e578b6f9-b34e-47af-8b4b-17e472979753,2021-01-05 00:37:17+05:30,0000000024568afd,28.579647,77.23402,30.0,48.0,59.0
2967,dddc15e5-9c37-4562-ab8f-04a13c691fcb,2021-01-05 00:37:20+05:30,0000000024568afd,28.579647,77.234024,30.0,48.0,58.0
2982,22a2cde1-5138-41fa-a968-dfad073d4685,2021-01-05 00:37:31+05:30,0000000024568afd,28.57975200000001,77.234215,32.0,48.0,58.0
2986,57674afb-70b6-42da-9175-f23ac6ce0715,2021-01-05 00:37:34+05:30,0000000024568afd,28.57970640000001,77.23418740000002,31.0,47.0,57.0
2987,809acf85-48d7-4b9c-a551-e63468c32bfb,2021-01-05 00:37:36+05:30,0000000024568afd,28.579676,77.234169,31.0,47.0,57.0
2992,74b64624-1172-4362-871b-7b4845a28e2f,2021-01-05 00:37:39+05:30,0000000024568afd,28.5796658,77.2341642,31.0,47.0,56.0
2996,9ff76b3c-fa5e-405c-90e3-384994d166db,2021-01-05 00:37:41+05:30,0000000024568afd,28.579659000000003,77.234161,31.0,47.0,58.0
3002,e2e59313-1aca-4842-9258-49d9f0860766,2021-01-05 00:37:44+05:30,0000000024568afd,28.5796644,77.23415200000002,32.0,49.0,61.0
3003,401da191-a461-4d7d-acfa-55eb2f983848,2021-01-05 00:37:46+05:30,0000000024568afd,28.579668,77.234146,32.0,49.0,61.0
3009,35b3edcc-26bf-46b5-98e8-a14dbe44b345,2021-01-05 00:37:49+05:30,0000000024568afd,28.579662,77.234146,35.0,52.0,64.0
3012,4a85e362-b894-4318-a395-a8a941d1f24d,2021-01-05 00:37:52+05:30,0000000024568afd,28.579679,77.234154,34.0,51.0,62.0
3018,e303188f-f251-4d6d-9cda-7234c41b0e9c,2021-01-05 00:37:55+05:30,0000000024568afd,28.579733,77.234184,33.0,51.0,62.0
3023,19d654ec-7f08-4229-8795-12b9c88cb351,2021-01-05 00:37:58+05:30,0000000024568afd,28.579751,77.234207,31.0,49.0,61.0
